Marion S. Whelan School of Practical Nursing|196 North Street|Geneva|NY|14456
Marist College|3399 North Road|Poughkeepsie|NY|12601
MarJon School of Beauty Culture Ltd|1154 Niagara Falls Boulevard|Tonawanda|NY|14150
Marymount College of Fordham University|100 Marymount Ave|Tarrytown|NY|10591
Marymount Manhattan College|221 E 71st St|New York|NY|10021
Medaille College|18 Agassiz Circle|Buffalo|NY|14214
Memorial Hospital School of Nursing|600 Northern Blvd|Albany|NY|12204
Merce Cunningham Studio|55 Bethune Street|New York|NY|10014
Mercy College - Dobbs Ferry|555 Broadway|Dobbs Ferry|NY|10522
Mercy Medical Center|1000 North Village Ave.|Rockville Centre|NY|11570
Mesivta Torah Vodaath Rabbinical Seminary|425 E 9th St|Brooklyn|NY|11218
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech|510 Dahill Rd|Brooklyn|NY|11218
Mesivhta Tifereth Jerusalem of America|145 E Broadway|New York|NY|10002
New York Methodist Hospital Allied Health Education|1401 Kings HIghway|Brooklyn|NY|11229
Southern Westchester BOCES-Practical Nursing Program|65 Grasslands Road|Valhalla|NY|10595
Midway Paris Beauty School|54-40 Myrtle Ave|Ridgewood|NY|11385
Mildred Elley|855 Central Avenue|Albany|NY|12206
Mirrer Yeshiva Cent Institute|1791-5 Ocean Pky|Brooklyn|NY|11223
Modern Welding School|1842 State St|Schenectady|NY|12304
Mohawk Valley Community College|1101 Sherman Drive|Utica|NY|13501
Molloy College|1000 Hempstead Ave|Rockville Centre|NY|11571
Monroe College|2501 Jerome Avenue|Bronx|NY|10468
Monroe Community College|1000 E Henrietta Rd|Rochester|NY|14623
Mount Saint Mary College|330 Powell Avenue|Newburgh|NY|12550
Dorothea Hopfer School of Nursing|53 Valentine Street|Mount Vernon|NY|10550
College of Mount Saint Vincent|6301 Riverdale Ave|Bronx|NY|10471
Mount Sinai School of Medicine|1 Gustave L Levy Place|New York|NY|10029
Nassau Community College|1 Education Dr|Garden City|NY|11530
Winthrop-University Hospital|259 First St.|Mineola|NY|11501
Nazareth College of Rochester|4245 East Ave|Rochester|NY|14618
Neighborhood Playhouse School of the Theatre|340 East 54th Street|New York|NY|10022
The College of New Rochelle|29 Castle Place|New Rochelle|NY|10805
The New School|66 W 12th Street|New York|NY|10011
New York Chiropractic College|2360 State Route 89|Seneca Falls|NY|13148
Culinary Academy of New York|154 West 14th Street,  11th Floor|New York|NY|10011
New York Institute of English and Business|248 W 35th St|New York|NY|10001
New York Law School|57 Worth St|New York|NY|10013
New York Medical College|Administration Building|Valhalla|NY|10595
New York School for Medical and Dental Assistants|33-10 Queens Blvd|Long Island City|NY|11101
New York Theological Seminary|475 Riverside Dr.  Ste 500|New York|NY|10115
New York University|70 Washington Sq South|New York|NY|10012
